ID,Education,Marital_Status,Income,percent_kids,percent_teenagers,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_age,joining_company,Tot_amnt_spent,last_purchase_day_type,minor_home,total_accept,Total_num_purchase,AOV
5524,Graduation,Single,1,0,0,58,39.27,5.44,33.77,10.64,5.44,5.44,3,8,10,4,7,0,0,0,0,0,0,1,1,3,1617,Weekday,0,1,25,64.68
2174,Graduation,Single,1,50,50,38,40.74,3.7,22.22,7.41,3.7,22.22,2,1,1,2,5,0,0,0,0,0,0,0,2,0,27,Weekday,2,0,6,4.5
4141,Graduation,Live_in,2,0,0,26,54.9,6.31,16.37,14.3,2.71,5.41,1,8,2,10,4,0,0,0,0,0,0,0,1,1,776,Weekend,0,0,21,36.95238095
6182,Graduation,Live_in,0,100,0,26,20.75,7.55,37.74,18.87,5.66,9.43,2,2,0,4,6,0,0,0,0,0,0,0,0,0,53,Weekend,1,0,8,6.625
5324,PhD,Married,1,100,0,94,41,10.19,27.96,10.9,6.4,3.55,5,5,3,6,5,0,0,0,0,0,0,0,0,0,422,Weekday,1,0,19,22.21052632
7446,Master,Live_in,1,0,100,16,72.63,5.87,13.69,0,5.87,1.96,2,6,4,10,6,0,0,0,0,0,0,0,1,1,716,Weekday,1,0,22,32.54545455
965,Graduation,Divorced,1,0,100,34,39.83,11.02,27.8,8.47,8.31,4.58,4,7,3,7,6,0,0,0,0,0,0,0,1,3,590,Weekday,1,0,21,28.0952381
6177,PhD,Married,0,100,0,32,44.97,5.92,33.14,1.78,0.59,13.61,2,4,0,4,8,0,0,0,0,0,0,0,0,2,169,Weekend,1,0,10,16.9
4855,PhD,Live_in,0,100,0,19,30.43,0,52.17,6.52,6.52,4.35,1,3,0,2,9,0,0,0,0,0,0,1,1,2,46,Weekend,1,1,6,7.666666667
5899,PhD,Live_in,0,50,50,68,57.14,0,12.24,2.04,2.04,26.53,1,1,0,0,20,1,0,0,0,0,0,0,2,0,49,Weekend,2,1,2,24.5
1994,Graduation,Married,1,100,0,11,26.32,26.32,31.58,0,10.53,5.26,1,1,0,2,7,0,0,0,0,0,0,0,0,1,19,Weekend,1,0,4,4.75
387,Basic,Married,0,0,0,59,9.84,26.23,18.03,18.03,1.64,26.23,1,2,0,3,8,0,0,0,0,0,0,0,0,3,61,Weekday,0,0,6,10.16666667
2125,Graduation,Divorced,2,0,0,82,17.6,5.54,43.56,20.42,10.16,2.72,1,3,4,8,2,0,0,0,0,0,0,0,1,1,1102,Weekend,0,0,16,68.875
8180,Master,Divorced,1,50,50,53,75.16,0.65,17.1,0.97,1.61,4.52,3,6,1,5,6,0,0,0,0,0,0,0,2,1,310,Weekend,2,0,15,20.66666667
2569,Graduation,Married,0,0,0,38,6.52,30.43,36.96,13.04,2.17,10.87,1,1,0,3,8,0,0,0,0,0,0,0,0,3,46,Weekday,0,0,5,9.2
2114,PhD,Single,2,0,0,23,76.5,1.67,8.75,4.49,5.17,3.42,1,7,6,12,3,0,0,1,1,0,0,1,2,3,1315,Weekday,0,3,26,50.57692308
9736,Graduation,Married,1,50,50,51,55.21,5.21,19.79,2.08,13.54,4.17,3,3,0,3,8,0,0,0,0,0,0,0,0,3,96,Weekday,2,0,9,10.66666667
4939,Graduation,Live_in,0,0,0,20,26.5,1.58,11.99,47.32,3.79,8.83,2,4,1,6,7,0,0,0,0,0,0,0,2,3,317,Weekday,0,0,13,24.38461538
6565,Master,Married,2,0,100,91,56.79,4.49,27.95,0,0.9,9.88,2,11,4,9,5,0,0,0,1,0,0,0,2,2,1782,Weekday,1,1,26,68.53846154
2278,Master,Single,0,100,0,86,3.01,12.78,14.29,22.56,18.05,29.32,2,2,1,3,6,0,0,0,0,0,0,0,0,3,133,Weekday,1,0,8,16.625
9360,Graduation,Married,0,0,0,41,27.22,0.63,23.1,21.84,12.03,15.19,1,4,2,5,8,0,0,0,0,0,0,0,0,3,316,Weekday,0,0,12,26.33333333
5376,Graduation,Married,0,100,0,42,0.06,0.06,99.71,0.06,0.06,0.06,15,0,28,0,1,0,0,0,0,0,0,0,0,3,1730,Weekday,1,0,43,40.23255814
1993,PhD,Married,1,0,100,63,89.2,0,8.85,0,0,1.95,3,2,3,9,8,0,1,0,0,0,0,0,2,3,972,Weekday,1,1,17,57.17647059
4047,PhD,Married,2,0,100,0,70.59,0,18.75,3.86,5.88,0.92,3,6,2,9,4,0,0,0,0,0,0,0,2,0,544,Weekday,1,0,20,27.2
1409,Graduation,Live_in,1,0,100,69,60.81,0.68,6.08,8.78,1.35,22.3,7,7,1,5,8,0,0,0,0,0,0,0,2,2,444,Weekday,1,0,20,22.2
7892,Graduation,Single,0,0,0,89,8,5.33,33.33,20,16,17.33,2,2,1,3,7,0,0,0,0,0,0,0,1,3,75,Weekend,0,0,8,9.375
